"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146"
"2",32.399998,32.939999,32.399998,31.859999,30.239998,30.239998,31.319998,30.779999,30.239998,30.239998,30.239998,30.239998,30.239998,30.239998,29.699999,28.619999,28.619999,28.079998,28.079998,28.619999,29.699999,28.619999,28.079998,28.079998,28.079998,28.619999,29.159998,30.239998,30.239998,30.239998,30.239998,30.239998,30.239998,32.939999,40.32,39.779999,48.059998,62.459999,62.819996,64.979996,65.879997,68.219994,68.939995,72.539993,74.699997,74.519997,74.879997,80.099998,82.979996,85.5,84.779999,83.339996,79.379997,76.32,75.239998,74.519997,74.159996,71.639999,71.639999,71.639999,69.659996,67.5,70.559998,68.759995,66.059998,68.939995,68.759995,70.019997,70.199997,68.039993,68.399994,68.219994,61.919998,59.939999,59.939999,58.319996,54.179996,55.619999,57.959999,59.039997,62.459999,66.599998,74.699997,73.259995,76.68,83.879997,88.019997,88.559998,88.739998,86.939995,86.039993,86.939995,87.479996,88.019997,88.559998,88.739998,91.079994,90.899994,89.82,93.419998,96.299995,96.299995,98.819992,96.659996,95.579994,94.859993,97.019997,95.939995,94.139999,95.399994,96.299995,95.759995,92.519997,92.159996,91.439995,91.619995,93.959999,92.699997,91.079994,92.339996,90.539993,89.279999,89.82,88.739998,91.619995,90.719994,88.739998,85.859993,84.419998,84.239998,79.379997,74.339996,70.019997,72.360001,68.039993,66.779999,67.68,64.439995,63.719997,61.379997,58.319996,55.619999,55.799999,55.619999,71.6509058601399
"3",53.819996,53.099998,52.739998,54.539997,52.919998,51.48,52.559998,51.659996,51.119999,51.119999,52.199997,52.379997,52.019997,52.559998,51.119999,52.019997,49.859997,51.48,50.219997,50.399998,48.779999,50.219997,50.759998,51.659996,50.039997,49.139999,50.759998,50.399998,51.659996,51.119999,52.919998,52.739998,52.559998,53.459999,55.619999,57.959999,62.819996,69.659996,71.279999,73.439995,74.699997,75.419998,79.559998,78.479996,81,80.279999,82.259995,85.5,86.219994,89.099998,86.939995,85.32,81.359993,78.299995,78.659996,78.119995,78.659996,75.779999,75.419998,74.339996,70.559998,70.559998,70.559998,70.559998,71.099998,68.939995,71.82,71.82,69.659996,72.539993,73.259995,70.559998,62.099998,57.239998,58.499996,61.199997,61.919998,61.559998,60.479996,62.999996,63.539997,68.399994,73.079994,71.099998,76.32,79.919998,82.439995,82.079994,84.239998,81.539993,83.879997,81.539993,85.859993,84.059998,82.979996,88.199997,87.479996,87.659996,88.919998,88.919998,91.919991,95.219994,96.839996,94.859993,95.039993,93.779999,93.779999,95.759995,95.039993,95.219994,94.859993,93.779999,94.499992,92.519997,92.339996,91.439995,92.159996,91.619995,90.899994,89.459999,88.019997,87.659996,86.579994,84.599998,86.219994,85.859993,84.239998,81.18,80.279999,78.479996,74.339996,68.039993,66.599998,64.619995,63.359997,64.259995,63.179996,62.279999,61.199997,61.019997,58.499996,58.319996,55.799999,52.379997,70.7777588741259
"4",52.019997,53.279999,50.939999,50.399998,51.659996,50.399998,50.039997,48.959999,49.679996,49.139999,50.039997,50.399998,50.579998,49.32,49.859997,49.499996,48.959999,50.219997,48.779999,49.139999,48.599998,48.599998,48.419998,47.879997,49.139999,48.599998,49.679996,49.679996,48.599998,48.419998,49.139999,49.499996,52.379997,52.559998,53.639999,54.179996,61.379997,66.239998,71.459999,72,72.899994,76.68,77.219994,77.219994,79.559998,77.939995,79.379997,80.459999,83.339996,87.479996,86.579994,84.059998,81.899994,80.099998,74.159996,74.699997,70.379997,73.799995,75.779999,72,72.719994,72.719994,71.099998,68.939995,68.579994,68.399994,70.199997,71.82,68.579994,68.579994,71.639999,69.479996,65.339996,57.419998,61.199997,55.619999,55.979996,56.879997,58.859997,59.939999,65.159996,67.68,72.539993,73.799995,76.5,78.659996,79.019997,83.699997,82.979996,83.699997,82.079994,83.339996,83.339996,85.139999,87.119995,87.659996,86.939995,90.179993,91.439995,89.459999,91.439995,93.239998,94.139999,95.399994,94.859993,94.499992,95.579994,95.219994,95.579994,93.779999,93.239998,91.079994,90.179993,91.619995,90.179993,90.179993,91.259995,90.359993,88.559998,89.279999,88.919998,88.379997,87.839996,86.399994,84.599998,84.239998,82.979996,82.619995,82.439995,79.199997,75.059998,73.439995,69.659996,68.399994,68.219994,65.699997,63.719997,63.179996,60.839996,58.499996,57.959999,57.959999,55.079998,54.719997,71.5053115734265
"5",54.359997,53.639999,53.819996,51.119999,51.299999,50.759998,52.739998,50.939999,50.039997,49.139999,49.679996,50.579998,50.939999,50.759998,49.679996,50.039997,48.959999,49.859997,49.139999,48.779999,49.679996,48.779999,48.959999,49.679996,47.879997,49.32,49.679996,48.779999,50.579998,51.119999,51.48,49.499996,52.019997,52.739998,54.539997,55.619999,62.819996,67.68,75.599998,74.159996,75.599998,78.299995,77.399994,78.659996,79.379997,80.279999,83.159996,83.519997,86.939995,89.279999,89.099998,88.019997,84.959999,79.379997,74.879997,79.019997,76.139999,74.879997,75.059998,72,74.699997,72.18,70.919998,74.879997,74.879997,74.159996,72.539993,68.939995,65.339996,61.199997,72,74.879997,71.82,66.779999,65.879997,65.879997,64.259995,65.519997,65.339996,67.139999,73.079994,72.719994,70.379997,75.239998,78.479996,83.339996,82.079994,81.539993,79.019997,84.239998,78.659996,79.199997,81.539993,80.82,82.079994,81.899994,85.139999,84.959999,88.919998,90.179993,91.079994,92.879997,93.779999,93.419998,93.779999,92.699997,94.679993,93.059998,92.519997,94.859993,90.359993,92.879997,89.999992,91.079994,91.799995,91.799995,92.519997,90.179993,88.919998,88.199997,88.199997,87.659996,90.719994,90.719994,85.859993,86.039993,83.339996,79.199997,78.839996,77.219994,75.419998,71.82,68.939995,67.5,66.599998,64.439995,64.619995,61.019997,58.859997,57.239998,56.699997,53.279999,55.079998,54.179996,66.8542630909091
"10",53.459999,53.639999,52.559998,52.379997,53.459999,52.199997,51.659996,50.039997,50.939999,50.039997,50.759998,50.399998,50.939999,50.219997,50.399998,50.759998,49.859997,50.039997,50.759998,50.579998,50.219997,50.219997,49.139999,48.239998,49.859997,49.679996,51.119999,50.759998,49.859997,50.039997,50.939999,51.299999,51.48,53.999996,52.199997,56.159996,62.639996,67.139999,68.759995,72.18,72.539993,75.959999,78.119995,78.299995,80.279999,80.099998,80.82,81.719994,84.779999,87.659996,87.479996,84.779999,79.739998,76.139999,77.579994,77.039993,76.68,77.399994,77.039993,75.959999,74.699997,74.879997,75.239998,0,75.419998,71.82,72.360001,69.839996,68.039993,68.759995,69.839996,69.299995,61.559998,59.579998,58.499996,56.879997,57.779999,55.439999,59.939999,63.359997,65.519997,72,75.239998,74.879997,79.739998,84.059998,85.139999,84.959999,85.5,86.219994,82.979996,83.519997,86.579994,84.959999,84.779999,86.579994,86.399994,84.599998,88.379997,92.519997,92.699997,94.859993,95.579994,96.119995,97.919998,93.419998,96.299995,93.419998,96.119995,96.659996,95.039993,93.779999,95.399994,94.679993,96.119995,95.579994,94.139999,95.219994,91.259995,90.539993,91.079994,91.439995,89.459999,94.859993,92.159996,89.999992,87.479996,85.32,86.039993,82.439995,79.919998,75.059998,70.379997,68.759995,66.599998,64.619995,62.819996,62.639996,60.479996,61.919998,60.839996,61.559998,57.959999,57.059998,71.6391578251748
"12",54.539997,54.719997,52.739998,52.379997,51.48,50.939999,51.119999,51.659996,50.759998,48.599998,48.059998,50.399998,50.219997,51.299999,50.759998,49.859997,48.239998,47.699997,46.799999,48.239998,48.779999,49.499996,49.139999,49.139999,47.699997,49.859997,51.119999,48.959999,50.399998,49.32,49.499996,51.48,51.299999,53.639999,54.719997,56.159996,63.179996,67.68,72.18,74.519997,74.879997,77.219994,82.079994,79.919998,77.039993,79.019997,79.379997,82.259995,85.679993,87.299995,90.359993,86.219994,81.899994,79.919998,78.119995,79.019997,78.299995,77.399994,76.68,76.32,74.879997,74.339996,72,71.099998,71.279999,70.559998,68.939995,65.519997,65.699997,64.079994,63.539997,62.459999,58.319996,56.159996,59.219997,56.339996,55.979996,56.699997,62.819996,64.619995,69.119995,69.299995,70.559998,71.459999,76.32,79.919998,82.439995,82.619995,82.619995,79.919998,79.919998,80.459999,80.459999,81.359993,85.5,86.039993,86.579994,86.039993,87.479996,89.459999,91.799995,97.199997,97.019997,96.479996,97.379997,96.299995,95.399994,94.859993,94.139999,91.259995,92.159996,91.259995,89.999992,91.439995,95.039993,94.679993,95.039993,92.879997,90.179993,90.179993,87.299995,87.659996,89.459999,89.459999,93.779999,91.439995,89.459999,88.199997,86.039993,81.899994,76.68,70.739998,68.759995,68.039993,67.139999,65.159996,62.099998,61.919998,62.099998,61.199997,59.939999,58.499996,57.239998,57.419998,67.9229339090909
"13",55.619999,56.339996,54.539997,55.079998,53.459999,52.199997,51.839996,52.559998,52.559998,51.299999,51.299999,52.739998,52.199997,51.299999,52.019997,52.199997,50.399998,52.019997,51.119999,50.399998,50.579998,51.119999,51.119999,50.399998,50.039997,51.839996,52.199997,51.659996,51.48,51.48,51.659996,52.739998,54.539997,53.459999,54.359997,55.979996,63.719997,67.5,70.019997,72.899994,73.259995,76.859993,77.399994,80.639999,79.379997,78.839996,79.559998,81.18,85.679993,85.139999,87.119995,86.399994,85.139999,78.839996,77.219994,75.959999,73.619995,73.619995,71.82,70.559998,69.479996,73.619995,70.559998,68.399994,70.379997,68.759995,66.059998,64.979996,63.719997,62.639996,61.559998,60.659996,55.799999,56.879997,56.699997,55.979996,54.719997,56.879997,57.239998,59.939999,63.359997,68.579994,70.739998,72,73.079994,73.619995,76.32,79.919998,78.659996,78.659996,78.119995,77.039993,77.399994,77.939995,77.939995,77.219994,78.839996,75.059998,78.299995,79.559998,84.419998,85.859993,85.5,88.019997,85.5,83.879997,83.339996,83.699997,81.899994,82.979996,82.979996,82.079994,82.439995,80.82,81.899994,82.079994,78.119995,77.579994,78.479996,77.939995,77.759995,77.939995,78.299995,79.019997,79.379997,76.68,76.139999,76.68,73.799995,68.939995,67.860001,67.139999,65.339996,65.339996,63.899998,63.899998,60.659996,59.399998,59.579998,57.239998,55.259998,54.179996,54.179996,54.899998,45.1434945804196
"14",51.48,50.579998,50.579998,50.399998,50.399998,48.239998,48.419998,47.519997,49.32,49.32,48.779999,46.619999,47.339996,46.98,46.259998,47.879997,44.999996,46.439999,46.259998,46.619999,46.619999,46.439999,45.539997,46.259998,46.619999,42.119999,37.439999,33.66,33.119999,34.199997,35.279999,33.66,34.739998,34.739998,35.279999,34.559998,34.559998,36.719997,38.879997,38.879997,39.959999,41.039997,43.199997,43.199997,45.359997,46.259998,44.82,46.439999,48.599998,49.679996,49.679996,48.599998,46.439999,44.82,41.939999,42.48,39.959999,39.599998,40.5,40.139999,38.34,38.879997,37.439999,36.539997,36,34.919998,33.48,32.939999,31.859999,30.779999,31.319998,30.959999,29.519999,27.359999,28.98,28.799999,26.82,26.999998,28.079998,28.079998,30.779999,34.019997,36.719997,38.879997,41.219997,44.459999,46.079998,46.619999,43.379997,43.919998,41.759998,41.759998,41.759998,43.919998,45.179996,45.359997,45.899998,46.98,48.599998,49.139999,52.919998,56.159996,56.699997,59.399998,57.779999,58.499996,60.479996,60.299999,60.479996,61.019997,60.479996,59.759998,60.299999,61.379997,61.919998,62.639996,61.559998,61.019997,62.099998,62.099998,60.479996,61.019997,59.219997,58.859997,57.779999,57.599998,54.719997,54.539997,52.739998,51.839996,51.839996,51.299999,50.219997,48.599998,46.98,46.439999,44.82,44.279999,43.199997,43.199997,41.579998,39.959999,38.879997,38.879997,39.3079702097902
"15",37.259998,36.719997,35.099998,34.559998,34.559998,34.559998,33.48,32.399998,32.399998,32.399998,32.399998,30.779999,32.399998,32.399998,31.319998,30.239998,30.239998,30.239998,30.779999,30.239998,30.239998,30.239998,30.239998,30.239998,30.239998,30.239998,30.239998,31.319998,30.239998,30.239998,30.239998,31.319998,31.319998,32.399998,32.399998,32.399998,32.399998,32.939999,34.559998,34.559998,34.559998,34.559998,35.459999,38.34,38.16,37.619999,37.079998,37.079998,38.34,38.879997,39.419998,41.039997,41.579998,38.879997,38.16,38.16,40.32,39.239998,39.239998,37.079998,34.379997,33.299999,32.759998,32.219997,31.139999,30.059999,27.359999,28.439999,30.059999,28.439999,28.439999,28.439999,27.359999,26.639999,26.279999,24.48,26.099998,25.559999,25.919998,27.359999,30.059999,31.679998,34.019997,36.719997,38.34,39.419998,41.579998,41.039997,41.939999,41.219997,41.759998,41.219997,41.759998,41.219997,40.139999,39.599998,41.579998,42.48,43.019997,42.48,45.179996,48.419998,50.579998,51.119999,52.199997,52.199997,53.639999,53.099998,54.719997,55.259998,55.259998,55.799999,56.339996,56.879997,56.879997,56.879997,58.679996,59.219997,58.679996,59.759998,58.139999,57.599998,59.759998,59.579998,57.779999,54.539997,53.999996,53.999996,52.919998,52.199997,50.039997,48.959999,47.879997,45.719997,44.639999,44.639999,42.48,41.399998,40.32,40.32,38.699997,38.16,36,36,67.2293675734266
"16",36,35.459999,34.379997,33.84,32.219997,31.679998,33.84,32.759998,33.299999,32.219997,31.679998,31.679998,31.679998,31.679998,31.679998,31.679998,31.679998,31.679998,31.679998,32.219997,31.679998,31.679998,31.679998,31.679998,31.679998,32.759998,32.759998,31.679998,31.679998,32.759998,33.84,32.759998,34.379997,37.619999,40.679996,42.839996,51.48,62.999996,63.179996,62.639996,65.879997,73.979996,72.899994,76.68,80.82,78.659996,79.919998,81,85.139999,85.139999,84.419998,84.959999,82.439995,82.979996,81.899994,79.379997,82.799995,79.199997,78.659996,77.759995,77.579994,75.599998,72.539993,70.919998,71.82,71.82,65.879997,68.759995,68.039993,69.479996,67.68,66.419998,62.459999,58.859997,60.119999,58.139999,57.779999,58.319996,58.679996,60.299999,69.299995,75.059998,74.879997,74.339996,78.659996,83.699997,84.239998,84.059998,84.239998,84.779999,84.419998,84.059998,82.979996,85.679993,84.779999,86.939995,86.759995,87.839996,87.839996,87.479996,93.239998,95.219994,95.939995,96.479996,97.379997,96.119995,97.559998,98.819992,96.659996,94.32,92.159996,93.239998,90.359993,90.539993,89.459999,90.179993,94.679993,96.479996,93.599998,95.039993,92.879997,90.719994,92.519997,90.359993,86.939995,86.759995,87.119995,86.039993,80.82,78.659996,76.32,70.559998,68.039993,64.979996,66.059998,64.979996,62.819996,62.999996,61.019997,58.859997,59.399998,56.879997,55.979996,57.239998,68.222094965035
